Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available
Attic Space - Sarvatra,Bengaluru,"2nd Floor, 514/A, 1st Stage, Hoysala Nagar,Indiranagar, Bangalore, Karnataka 560038",Abhishek,Karnataka,Indiranagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,7000,0,STANDARD,Attic Space - Sarvatra,4.0,133,83
AtticSpace - Watermark,Hyderabad,"8th Floor, The Watermark,Hitech City Rd, Hyderabad, Telangana 500084",Abhishek,Telangana,Hitec City,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,8000,0,STANDARD,AtticSpace - Watermark,3.8,257,20
Attic Space- Chankya,Bengaluru," No. 32, 2nd cross, Nanjappa Reddy Layout, Village, opp. Ganga Sagar Hotel, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",Abhishek,Karnataka,Koramangala,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5500,0,STANDARD,Attic Space- Chankya,3.9,232,47
Attic Space - Lotus,Bengaluru,"4th Floor, No.612/1, PID no. 68-299, 612/1, 80 Feet Rd,Koramangala, Bangalore 560034",Abhishek,Karnataka,Koramangala,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5500,0,STANDARD,Attic Space - Lotus,4.9,409,29
Attic Space - Trishul,Bengaluru,"#12, 7th Cross Rd, Koramangala 1A Block, Koramangala 3 Block,Koramangala, Bangalore 560034, India",Abhishek,Karnataka,Koramangala,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,7000,0,STANDARD,Attic Space - Trishul,3.6,92,5
AtticSpace  - Symbiosis,Bengaluru,"# 268, 100 Feet Rd, 7th Cross, HAL 2nd Stage,Indiranagar, Bangalore, Karnataka 560038",Abhishek,Karnataka,Indiranagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5523,0,STANDARD,AtticSpace  - Symbiosis,4.9,232,49
Attic Space - Veda,Bengaluru,"No. 6, (Old Site Nos. 1,2,3 & 4), Ward No 68, Koramangala Main Road,6th Block Ejipura , Bengaluru 560034",Abhishek,Karnataka,Koramangala,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5600,0,STANDARD,Attic Space - Veda,4.9,151,70
Attic Space - Drona,Bengaluru,"No.L73,15th Cross,sector 6, HSR Layout,Bengaluru-560102",Abhishek,Karnataka,HSR Layout,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5588,0,STANDARD,Attic Space - Drona,3.9,104,8
Attic Space - Smart Square,Bengaluru,"100 Feet Rd, Indira Nagar II Stage, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038",Abhishek,Karnataka,Indiranagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5021,0,STANDARD,Attic Space - Smart Square,4.6,242,56
Attic Square - Enclave,Bengaluru,"No. 31,MM Phoenix, 80 Ft road, HAL 3rd stage, Indiranagar, bengaluru-560038",Abhishek,Karnataka,Indiranagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5300,0,STANDARD,Attic Square - Enclave,4.7,166,32
wework HQ27,Gurgaon,"MG Road , B-660, Sushant Lok Phase I, Sector 27, Gurgaon, HR 122009",Abhinav Gupta,Haryana,Sector 27,900,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup"",""Gaming Room""]",15000,0,32000,PLATINUM+,wework HQ27,3.9,173,52
My Soho,Chandigarh,SCO 1132-1133 Sec 22B Chandigarh,Anurag Sharma,Chandigarh (UT),Sector 22,1000,PLATINUM+,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",6000,0,36000,PLATINUM,My Soho,5.0,35,84
My Soho,Sahibzada Ajit Singh Nagar (Mohali),E 328 Industrial Area Phase 8A Sector 75 Mohali,Simranjeet Singh,Punjab,Sector 75,700,PLATINUM,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Meeting Room"",""Common Area"",""F&B Cafe"",""Food"",""Power Backup""]",0,0,7000,PLATINUM,My Soho,3.9,89,61
My Soho,Chandigarh,"Plot no 436, Second floor, Sec 82, Sahibzada Ajit Singh Nagar, Punjab 140308",Anurag Sharma,Chandigarh (UT),Jlpl Industrial Area,700,PLATINUM,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",6000,0,7000,PLATINUM,My Soho,5.0,13,76
wework Galaxy Business Park,Noida,"A-44 & 45, Sushil Marg, Block A, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309, India",Karan,Uttar Pradesh,Sector 62,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",15000,0,16000,PLATINUM+,Wework Galaxy Business Park,4.5,145,19
Pannal,Delhi NCT,"Building No. 2, 619/2-7, Chattarpur Mandir Road, Opposite Tivoli Gardens, New Delhi 110074",,Delhi (NCT),Mohan Cooperative Industrial Estate,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,6500,0,STANDARD,Pannal,4.8,230,36
Pannal,Dehradun,"Sahastradhara Rd, Doon IT Park, Govind Vihar, Dehradun, Uttarakhand 248001",,Uttarakhand,Govind Vihar,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Tea/Coffee"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,6500,0,STANDARD,Pannal,4.0,57,86
The Executive Centre-Olympia Tech Park,Chennai,"Level 5, Fortius Tower, Olympia Tech Park, Plot No.1 SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",Gokul Rathnam,Tamil Nadu,Guindy,2500,PLATINUM+,LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup"",""Services(Courier/Admin)"",""Gaming Room"",""Smoking Room""]",10000,0,0,PLATINUM+,The Executive Centre-Olympia Tech Park,5.0,70,90
Phoebus,Hyderabad,"My Home Hub, Hitech City Rd, Patrika Nagar, HITEC City, Hyderabad, Telangana 500081, India",,Telangana,Hitec City,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,7500,0,STANDARD,Phoebus,4.8,405,69
The Executive Centre-Olympia Teknos,Chennai,"Level 8-9, Olympia Teknos Park, No. 28 SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India ",Gokul Rathnam,Tamil Nadu,Guindy,2500,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,PLATINUM+,The Executive Centre-Olympia Teknos,4.5,414,41
Hvantage,Indore,"509 block B corporate house 5th floor,RNT Marg indore (M.P.)-452001",Neelesh,Madhya Pradesh,Chhoti Gwaltoli,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""Food"",""Power Backup""]",0,6500,0,STANDARD,Hvantage,4.7,207,53
Incoff Workspace Solutions,Kochi,"Thrikkakara, Edappally, Kochi, Kerala 682021",Karun Nair,Kerala,Edappally,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""Power Backup""]",0,5500,5500,STANDARD,Incoff Workspace Solutions,4.2,116,49
The Executive Centre-RMZ One Paramount,Chennai,"Level 5, Campus 20, RMZ One Paramount, No. 110 Mount Poonamallee Road, Porur, Chennai, Tamil Nadu 600116, India",Gokul Rathnam,Tamil Nadu,Porur,2500,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,0,PLATINUM+,The Executive Centre-RMZ One Paramount,4.7,284,74
Trichy Coworks-I,Tiruchirappalli,"SP ARCADE,D/No:D-54, Thillainagar west,6th A cross, Tiruchirapalli - 620018.",Manoj Prabahar,Tamil Nadu,West Thillai Nagar,500,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""Power Backup""]",0,5500,13000,GOLD,Trichy Coworks-I,4.1,324,47
Spacify,Gurgaon,"14th floor Vatika Professional Point Golf Course Extension Road, Sector 66 Gurugram 122002",Yashraj,Haryana,Sector 66,550,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7500,0,0,PLATINUM,Spacify,5.0,413,74
Area 52,Durg,"2nd Floor, Falak Tower, Mumbai - Kolkata Hwy, Priyadarshini Parisar East, Supela, Bhilai- 490023, Chhattisgarh",Mohammed Sanaullah Khan,Chhattisgarh,Priyadarshini Parisar East,300,SILVER,NOT LIVE,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access"",""Reception""]",1200,1440,18000,SILVER,Area 52,4.6,404,99
Krisan Infinite Space,Coimbatore,"MAYFLOWER VELANCIA, 1264, Avinashi Rd, NAVA INDIA, Coimbatore, Tamil Nadu 641004",Krisan Infinite Space,Tamil Nadu,R.s. Puram,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Reception"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",6500,0,10000,PLATINUM,Krisan Infinite Space,5.0,130,83
Spacify,Delhi NCT,"Plot No. 452, First Floor, Sec 19, Dwarka, New Delhi 110075",Yashraj,Delhi (NCT),Dwarka,550,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7500,0,0,PLATINUM,Spacify,4.3,11,99
The Syndicate Space,Coimbatore,"38, Tatabad 3rd St, Hudco Colony, Tatabad, Coimbatore, Tamil Nadu 641012",The Syndicate Space,Tamil Nadu,R.s. Puram,550,PLATINUM,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception"",""Power Backup""]",0,6000,7000,PLATINUM,The Syndicate Space,3.9,13,100
India Accelerator,Noida,"Level 3 and 5, The Iconic Corenthum, opposite Electronic City Metro Station Road, Block A, Industrial Area, Sector 62, Noida, Uttar Pradesh 201301",Shivokt Chitransh,Uttar Pradesh,Sector 62,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,9000,GOLD,India Accelerator,3.9,79,83
India Accelerator,Gurgaon,"Level 3 and Level 4, BPTP Centra One, Golf Course Ext Rd, Baharampur Naya, Sector 61, Gurugram, Haryana 122102, India",Shivokt Chitransh,Haryana,Sector 61,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,10000,GOLD,India Accelerator,4.3,43,38
India Accelerator,Gurgaon,"7th Floor, Mehrauli-Gurgaon Rd, Block B, Sushant Lok Phase I, Gurugram, Haryana 122002, India",Shivokt Chitransh,Haryana,Sushant Lok Phase I,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,17500,PLATINUM,India Accelerator,3.6,382,57
Tradecom,Vadodara,"A/129, Saiyed Vasna Rd, Jay Jalaram Nagar Society, Usha Nagar, Saiyed Vasna, Vadodara, Gujarat 390021",Tradecom,Gujarat,Gokul Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Reception"",""Power Backup""]",6000,0,0,PLATINUM,Tradecom,4.3,486,58
India Accelerator,Pune,"2nd Floor, Montclaire, India Accelerato, B-Wing, near, Baner - Pashan Link Rd, Pashan, Pune, Maharashtra 411021, India",Shivokt Chitransh,Maharashtra,Pashan,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,10000,GOLD,India Accelerator,4.6,389,93
Venture X,Gurgaon,"Plot Number 65, Co-working Space, Landmark House, Sector 44, Gurugram, Haryana 122003",Anuvrat,Haryana,Sector 44,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,12000,GOLD,Venture X,4.0,364,58
Spacetime cowork,Delhi NCT,"5th Floor, DLF Centre,Savitri Cinema Complex,Greater Kailash II, New Delhi 110048",Shubham,Delhi (NCT),Greater Kailash II,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",13000,0,16000,PLATINUM,Spacetime cowork,3.6,372,39
Spacetime cowork,Delhi NCT,"Kharsa no. 275, Westend marg, Saidulajaib, Near champa gali,New delhi.",Meenu,Delhi (NCT),Saiyad Ul Ajaib Extension,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,12000,PLATINUM,Spacetime cowork,3.9,422,87
Spacetime,Delhi NCT,"261, First Floor,Westend marg, saidulajaib, New Delhi 110030",Himanshu ,Delhi (NCT),Sainik Farm,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",10000,0,12000,PLATINUM,Spacetime,4.4,275,94
Uniwork Spaces,Bengaluru,"8th Main-East Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",Uniwork Spaces,Karnataka,Kalyan Nagar,800,PLATINUM+,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner""]",0,5500,0,PLATINUM+,Uniwork Spaces,4.7,397,86
Spacetime,Gurgaon,"Sector 44, plot, Street No. 127, Laxman Vihar, Gurgaon Rural, Gurugram, Haryana 122001, India",Gaurav,Haryana,Laxman Vihar,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8000,0,9000,GOLD,Spacetime,3.8,254,10
Spacetime,Delhi NCT,Mohan cooperative industrial estate Lamborghini Car showroom near Sarita vihar metro station.,Rajbeer,Delhi (NCT),Sarita Vihar,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",9000,0,10000,PLATINUM,Spacetime,3.6,472,61
BRIC Spaces ,Bengaluru,"HBR Layout 2nd Block, Stage 1, HBR Layout, Bengaluru, Karnataka, India",BRIC Spaces ,Karnataka,Hbr Layout,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Reception"",""Power Backup""]",4000,4500,15000,GOLD,BRIC Spaces ,4.3,107,11
Spacetime,Delhi NCT,"Building no. 18, panchsheel park , commercial complex, New Delhi",Mohit ,Delhi (NCT),Tughlakabad,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",13000,0,16000,PLATINUM,Spacetime,3.7,89,19
Spacetime,Indore,"Shop no. 45, The Hub, Opp. Prestoge Institute, Scheme number 78, Part II, Vijay Nagar, Indore, Madhya Pardesh 452010",Ankit ,Madhya Pradesh,"Scheme 78, Vijay Nagar",500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7500,0,8500,PLATINUM,Spacetime,4.4,437,17
My Office Space Opera,Mysuru (mysore),"Udayaravi Rd, Kuvempu Nagar 1st Stage, Kuvempu Nagara, Mysuru, Karnataka, India",Myofficespace Opera,Karnataka,Extension,0,STANDARD,NOT LIVE,"[""Reception""]",0,0,0,STANDARD,My Office Space Opera,3.9,90,90
My Office Space BM Cohabitat,Mysuru (mysore),"2nd floor, Gokulam Main Rd, 3rd Block, Jayalakshmipuram, Mysuru, Karnataka 570012, India",Myofficespace BM Cohabitat,Karnataka,Jayalakshmipuram,0,STANDARD,NOT LIVE,"[""Parking"",""Power Socket""]",0,0,0,STANDARD,My Office Space BM Cohabitat,4.8,118,17
My Office Space Magnum,Mysuru (mysore),"Gaganachumbi Double Rd, Block K, Jayanagar, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Myofficespace Magnum,Karnataka,Kuvempu Nagara,0,STANDARD,NOT LIVE,"[""Common Area""]",0,0,0,STANDARD,My Office Space Magnum,3.6,340,23
11COWORK,Pune,"Fl. No. 3 Shreenivas Classic Above Coroporation Bank, Baner Rd, Pune, Maharashtra 411045",Nitin,Maharashtra,Baner,450,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,GOLD,11COWORK,3.9,298,16
11COWORK,Pune,"6th Floor, Estella, Sayaji Garden Commercial Building, Casa Imperia Rd, near Wakadkar Wasti, Hinjawadi Village, Hinjawadi, Pune, Pimpri-Chinchwad, Maharashtra 411057",Nitin,Maharashtra,Hinjawadi,450,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,GOLD,11COWORK,4.9,292,39
Adited-I,Indore,"511 Satguru Parinay, AB Road, Vijay nagar, Indore",Adited-I,Madhya Pradesh,Scheme 54 PU4,400,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,4500,5000,SILVER,Adited-I,4.0,269,5
11COWORK,Pune,"11Cowork, Future 1, DP Rd, above SVC Bank, Anant Society, Aundh, Pune, Maharashtra 411007",Nitin,Maharashtra,Aundh,450,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,GOLD,11COWORK,3.7,482,62
Excluzo Business Centre,Surat,"A-wing, 202-203, Union Heights, Opp Rahulraj Mall Lane, Maharana Pratap Rd, Vesu,Surat-395007",Excluzo Business Centre,Gujarat,Piplod,350,SILVER,NOT LIVE,"[""Parking"",""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access"",""Reception""]",2100,3000,6000,SILVER,Excluzo Business Centre,4.3,13,8
11COWORK,Pune,"Floor No. 2, Spot 18 Mall Wakad - Bhosari BRTS Rd, Wakad Junction, Pimple Saudagar, Pune, Maharashtra 411017",Nitin,Maharashtra,Rahatani,450,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,GOLD,11COWORK,4.7,287,31
11COWORK,Pune,"1st Floor, White Sqaure, Hinjawadi - Wakad Rd, above Vijay Sales, Pune, Maharashtra 411057",Nitin,Maharashtra,Hinjawadi Village,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,0,0,GOLD,11COWORK,3.8,344,21
The Executive Centre-Kaman Amaryllis,Bengaluru,"Level G-3, Kaman Amaryllis, No. 139/26-1 Intermediate Ring Road, Outside Embassy Golf Link, Domlur, Bangalore, Karnataka 560071, India",Sonali Todarwal,Karnataka,Domlur,2500,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",30000,0,0,PLATINUM+,The Executive Centre-Kaman Amaryllis,4.0,247,38
Bridge Cowork,Bengaluru,"17, First Floor, 5th A Cross Rd, R.K Colony, Manjunath Colony, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560040",,Karnataka,J. P. Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Power Socket"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",6500,0,0,PLATINUM,Bridge Cowork,4.4,433,60
Krisan Infinite Space-I,Coimbatore,"MAYFLOWER VELANCIA, 1264, First Floor,Avinashi Rd, NAVA INDIA, Coimbatore, Tamil Nadu 641004",,Tamil Nadu,Stv Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Power Socket"",""Locker/Storage"",""Common Area"",""Food"",""Power Backup""]",6500,0,0,PLATINUM,Krisan Infinite Space-I,4.5,229,82
Kplex-I,Vadodara,"1st Floor Vadodara Hyper Complex Rhino Circle, Dr Vikram Sarabhai Marg, Alkapuri, Vadodara, Gujarat 390007",,Gujarat,Alkapuri,0,STANDARD,NOT LIVE,"[""Parking"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",9000,0,0,PLATINUM+,Kplex-I,3.8,106,79
Uniwork Spaces-I,Bengaluru,"802, 4th Floor, 8th Main-East Rd, HRBR Layout 1st Block, Kalyan Nagar, Bengaluru, Karnataka 560043",,Karnataka,Kalyan Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",5500,0,0,PLATINUM,Uniwork Spaces-I,3.9,238,92
Workoville Workspaces-I,Bengaluru,"2nd floor, Pama arcade, 3c-702, 3rd Cross Rd, HRBR Layout 1st Block, Kalyan Nagar, Bengaluru, Karnataka 560043",,Karnataka,Kalyan Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Common Area"",""F&B Cafe"",""Food"",""Power Backup""]",0,6500,0,STANDARD,Workoville workspaces-I,4.9,116,10
Work Matterz coworking-I,Bengaluru,"302, 3rd Cross, 9 H Main Road, HRBR Layout 1st Block,, Kalyan Nagar Post, Bengaluru, Karnataka 560043",,Karnataka,Kalyan Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""Food"",""Power Backup""]",0,6500,0,STANDARD,Work Matterz coworking-I,4.6,450,34
Riseworx Pvt ltd,Bengaluru,"28/1, 2nd floor, 1st Cross 15th Main Road ,E Block, behind Swathi Gardenia Hotel, Sahakar Nagar, Hebbal, Bengaluru, Karnataka 560092",,Karnataka,Sahakar Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",7000,0,0,PLATINUM,Riseworx Pvt ltd,4.0,437,29
Share Office Solution-I,Bengaluru,"14, Thamarai Kannan Rd, Murphy Town, Halasuru, Bengaluru, Karnataka 560008",,Karnataka,Murphy Town,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",6000,0,0,PLATINUM,Share Office Solution-I,4.0,494,8
The Nest Spaces-I,Coimbatore,"Plot no 12, Rayappa Layout, opposite cut to Elsie Agro Industries, Ganapathy, Coimbatore, Tamil Nadu 641006",,Tamil Nadu,Ganapathy,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Common Area"",""Reception"",""Power Backup""]",5000,0,0,GOLD,The Nest Spaces-I,4.5,408,77
Jabalpur Coworking-I,Jabalpur,"4VHF+HVW, Bargi Hills, Jabalpur, Madhya Pradesh 482003, India",,Madhya Pradesh,Bargi Hills,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Common Area"",""Reception"",""Power Backup"",""Leased Line""]",5000,0,0,GOLD,Jabalpur Coworking-I,4.0,248,39
